update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,128,641.2090975648499,0,0.0,0.0,0,0,0.0,0.0,0,0,2.816082715988159,0.041508015245199203,14.732032775878906,245.32330322265625,144.1235107753483,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,256,1076.806415057253,0,0.0,0.0,0,0,0.0,0.0,0,0,2.8431620597839355,-0.2469274401664734,38.413909912109375,1537.09814453125,311.3377506170759,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,384,1103.65756598355,0,0.0,0.0,0,0,0.0,0.0,0,0,2.851029396057129,-0.724028468132019,62.62270736694336,4102.92431640625,541.7978742913764,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,512,1135.7804222226453,0,0.0,0.0,0,0,0.0,0.0,0,0,2.8344404697418213,-1.0079703330993652,89.63194274902344,8358.373046875,708.6765745864851,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,640,1123.842733038873,0,0.0,0.0,0,0,0.0,0.0,0,0,2.8476879596710205,-1.3458888530731201,119.14968872070312,14868.92578125,959.7068458585142,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
