update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,128,650.6745396613012,0,0.0,0.0,0,0,0.0,0.0,0,0,1.0775153636932373,0.2121858298778534,0.028934847563505173,0.013074326328933239,0.15196347657092693,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,256,717.1915027772806,0,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.07490074634552,0.22226466238498688,-0.09594123810529709,0.02423417940735817,0.15720459182501592,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,384,773.9248751980326,0,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.071968674659729,0.25666579604148865,0.042461786419153214,0.004368448164314032,0.09239477554651486,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,512,775.8698653101335,0,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0892462730407715,0.23403459787368774,0.023562923073768616,0.005023930687457323,0.04199875641392309,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,640,785.6904279310592,0,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.064620018005371,0.20890766382217407,0.04354368522763252,0.0014021354727447033,0.046767943989807804,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,768,803.38988143783,1,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.064417839050293,0.27279773354530334,0.03451327234506607,0.0020003109239041805,0.09838848663346407,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,896,794.8638442462153,1,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.040187954902649,0.20257431268692017,0.04233209416270256,0.0008013492333702743,0.03224326213712394,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,1024,791.5146214780556,1,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,0.9896227717399597,0.21910440921783447,0.028611378744244576,0.0009575582225807011,0.06352555522798026,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,1152,811.2209801663931,1,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0576845407485962,0.19223614037036896,0.02661481685936451,0.0008531555067747831,0.05818086922443034,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,1280,786.4972854191998,1,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0764179229736328,0.15244661271572113,0.029220446944236755,0.0004612337506841868,0.0179719436587749,1.0,0.0,1.0,1.0
11,1408,770.7959082001106,1,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0791281461715698,0.11298421770334244,0.02322949469089508,0.0007006459636613727,0.03993554170890464,1.0,0.0,1.0,1.0
12,1536,787.4305141822907,2,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.071579933166504,0.09006863832473755,0.023709934204816818,0.00031931561534292996,0.017907319842756536,1.0,0.0,1.0,1.0
13,1664,801.9833499893192,2,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0443134307861328,0.0750761479139328,0.009164496324956417,0.00030037463875487447,0.020884568087681972,1.0,0.0,1.0,1.0
14,1792,793.8483577287225,2,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0747915506362915,0.07361536473035812,0.013178663328289986,0.00014605632168240845,0.013645330630936476,1.0,0.0,1.0,1.0
15,1920,798.2237288538795,2,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0855343341827393,0.04960702732205391,0.014402328990399837,0.0002189918013755232,0.010347429387369178,1.0,0.0,1.0,1.0
16,2048,786.7716025862726,2,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0727624893188477,0.04422014206647873,0.009672817774116993,0.0001628985774004832,0.012688508677781762,1.0,0.0,1.0,1.0
17,2176,807.2603416569807,2,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0852687358856201,0.03700484335422516,0.004051822237670422,0.00021858290710952133,0.012214916384727766,1.0,0.0,1.0,1.0
18,2304,782.8035069864151,3,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.090218186378479,0.025675399228930473,0.006113136652857065,8.676674769958481e-05,0.005865939725325237,1.0,0.0,1.0,1.0
19,2432,794.4392337219178,3,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0902165174484253,0.02126987837255001,0.002218278357759118,9.976520959753543e-05,0.004746739277084516,1.0,0.0,1.0,1.0
20,2560,793.1739788199698,3,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0925883054733276,0.02084585465490818,0.001958687324076891,6.448308704420924e-05,0.005045406733905444,1.0,0.0,1.0,1.0
21,2688,814.3155480660286,3,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.090912103652954,0.0202784463763237,0.003361412091180682,3.9350255974568427e-05,0.005730696207088943,1.0,0.0,1.0,1.0
22,2816,788.2073909641199,3,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0903681516647339,0.020908400416374207,0.0028796521946787834,7.452080899383873e-05,0.004827841478620638,1.0,0.0,1.0,1.0
23,2944,787.5090570648626,3,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.096521019935608,0.016569295898079872,0.0031059985049068928,6.260004010982811e-05,0.003534639735772381,1.0,0.0,1.0,1.0
24,3072,692.3444809972158,4,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0944344997406006,0.012759330682456493,0.0030293625313788652,4.81086754007265e-05,0.0027334583384859214,1.0,0.0,1.0,1.0
25,3200,786.7289440789907,4,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0919256210327148,0.005434198305010796,0.004437022842466831,0.0001320517621934414,0.006385302053742453,1.0,0.0,1.0,1.0
26,3328,772.3227790740831,4,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0911284685134888,0.008514584973454475,0.0010289110941812396,0.00013837931328453124,0.004877846925511812,1.0,0.0,1.0,1.0
27,3456,777.8178946926156,4,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.089267611503601,0.006320664659142494,-0.0022374719846993685,9.432966908207163e-05,0.006608684975132626,1.0,0.0,1.0,1.0
28,3584,780.8974654729784,4,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0953552722930908,0.008271731436252594,-0.0016042287461459637,0.00013511540601029992,0.005941659329897064,1.0,0.0,1.0,1.0
29,3712,791.3594490695974,4,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0946177244186401,0.009504803456366062,7.67318852012977e-06,0.00013518183550331742,0.00597626626234378,1.0,0.0,1.0,1.0
30,3840,805.3240851298729,5,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0946924686431885,0.004044811706990004,0.0028115243185311556,0.0001727580965962261,0.007669323636893108,1.0,0.0,1.0,1.0
31,3968,797.8370178389914,5,1.0,0.0,1.0,1.0,164.0,0.0,164.0,164.0,1.0933061838150024,0.010442856699228287,-0.003134810831397772,0.00011408244608901441,0.005633408107671873,1.0,0.0,1.0,1.0
