update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,128,678.9775099436579,0,0.0,0.0,0,0,0.0,0.0,0,0,2.7915163040161133,-0.26376035809516907,13.595589637756348,208.7091827392578,83.22720013994406,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,256,968.6631796030232,0,0.0,0.0,0,0,0.0,0.0,0,0,2.795637845993042,-0.34538906812667847,35.189517974853516,1297.4490966796875,229.53168186843718,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,384,1069.348938560394,0,0.0,0.0,0,0,0.0,0.0,0,0,2.8035051822662354,-0.9079767465591431,62.83263397216797,4134.4072265625,414.9240301574235,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,512,1117.561406759021,0,0.0,0.0,0,0,0.0,0.0,0,0,2.820305347442627,-0.6734824776649475,94.96026611328125,9386.439453125,460.835074616443,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,640,1125.6618512259456,0,0.0,0.0,0,0,0.0,0.0,0,0,2.7963943481445312,-1.0796053409576416,119.84510803222656,15063.25,730.9557010054353,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,768,1078.7580489275128,0,0.0,0.0,0,0,0.0,0.0,0,0,2.7650623321533203,-1.658737301826477,150.59478759765625,23645.5078125,1255.9660525004463,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,896,1073.3918982411733,0,0.0,0.0,0,0,0.0,0.0,0,0,2.7410526275634766,-2.200594186782837,176.86175537109375,32921.046875,1494.0095414815787,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,1024,1114.90408273456,1,0.0,0.0,0,0,0.0,0.0,0,0,2.7294013500213623,-2.573577404022217,198.30699157714844,41140.81640625,1797.380513457136,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,1152,1104.3045569172416,1,0.0,0.0,0,0,0.0,0.0,0,0,2.765678882598877,-2.1108832359313965,220.08718872070312,50954.6953125,1726.7078308743733,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
